127.0.0.1 - - [05/Dec/2019:07:20:41 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [05/Dec/2019:07:20:44 +0700] "GET /LOWJISHOP/ HTTP/1.1" 200 9371
0:0:0:0:0:0:0:1 - - [05/Dec/2019:07:20:44 +0700] "GET /LOWJISHOP/resources/JS/jquery-3.4.1.min.js;jsessionid=82E916D9B127047B501163224C09FEC5 HTTP/1.1" 200 88145
0:0:0:0:0:0:0:1 - - [05/Dec/2019:07:20:44 +0700] "GET /LOWJISHOP/resources/image/trangchu/icongiohang.png;jsessionid=82E916D9B127047B501163224C09FEC5 HTTP/1.1" 200 1894
0:0:0:0:0:0:0:1 - - [05/Dec/2019:07:20:44 +0700] "GET /LOWJISHOP/resources/bootstrap-4.3.1-dist/css/bootstrap.min.css;jsessionid=82E916D9B127047B501163224C09FEC5 HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [05/Dec/2019:07:20:44 +0700] "GET /LOWJISHOP/resources/Styles/animate.css;jsessionid=82E916D9B127047B501163224C09FEC5 HTTP/1.1" 200 77907
0:0:0:0:0:0:0:1 - - [05/Dec/2019:07:20:44 +0700] "GET /LOWJISHOP/resources/image/trangchu/iconlowji.png;jsessionid=82E916D9B127047B501163224C09FEC5 HTTP/1.1" 200 11952
0:0:0:0:0:0:0:1 - - [05/Dec/2019:07:20:44 +0700] "GET /LOWJISHOP/resources/Styles/styles.css;jsessionid=82E916D9B127047B501163224C09FEC5 HTTP/1.1" 200 4038
0:0:0:0:0:0:0:1 - - [05/Dec/2019:07:20:44 +0700] "GET /LOWJISHOP/resources/bootstrap-4.3.1-dist/js/bootstrap.min.js;jsessionid=82E916D9B127047B501163224C09FEC5 HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [05/Dec/2019:07:20:44 +0700] "GET /LOWJISHOP/resources/JS/wow.min.js;jsessionid=82E916D9B127047B501163224C09FEC5 HTTP/1.1" 200 8415
0:0:0:0:0:0:0:1 - - [05/Dec/2019:07:20:44 +0700] "GET /LOWJISHOP/resources/JS/custom.js;jsessionid=82E916D9B127047B501163224C09FEC5 HTTP/1.1" 200 10587
0:0:0:0:0:0:0:1 - - [05/Dec/2019:07:20:44 +0700] "GET /LOWJISHOP/resources/image/sanpham/25.jpg;jsessionid=82E916D9B127047B501163224C09FEC5 HTTP/1.1" 200 7915
0:0:0:0:0:0:0:1 - - [05/Dec/2019:07:20:44 +0700] "GET /LOWJISHOP/resources/JS/jquery.validate.min.js;jsessionid=82E916D9B127047B501163224C09FEC5 HTTP/1.1" 200 24376
0:0:0:0:0:0:0:1 - - [05/Dec/2019:07:20:44 +0700] "GET /LOWJISHOP/resources/image/sanpham/2.jpg;jsessionid=82E916D9B127047B501163224C09FEC5 HTTP/1.1" 200 12198
0:0:0:0:0:0:0:1 - - [05/Dec/2019:07:20:44 +0700] "GET /LOWJISHOP/resources/image/sanpham/7.jpg;jsessionid=82E916D9B127047B501163224C09FEC5 HTTP/1.1" 200 8286
0:0:0:0:0:0:0:1 - - [05/Dec/2019:07:20:44 +0700] "GET /LOWJISHOP/resources/image/sanpham/3.jpg;jsessionid=82E916D9B127047B501163224C09FEC5 HTTP/1.1" 200 10092
0:0:0:0:0:0:0:1 - - [05/Dec/2019:07:20:44 +0700] "GET /LOWJISHOP/resources/image/sanpham/22.jpg;jsessionid=82E916D9B127047B501163224C09FEC5 HTTP/1.1" 200 11828
0:0:0:0:0:0:0:1 - - [05/Dec/2019:07:20:44 +0700] "GET /LOWJISHOP/resources/image/sanpham/10.jpg;jsessionid=82E916D9B127047B501163224C09FEC5 HTTP/1.1" 200 8893
0:0:0:0:0:0:0:1 - - [05/Dec/2019:07:20:44 +0700] "GET /LOWJISHOP/resources/image/sanpham/28.jpg;jsessionid=82E916D9B127047B501163224C09FEC5 HTTP/1.1" 200 6564
0:0:0:0:0:0:0:1 - - [05/Dec/2019:07:20:44 +0700] "GET /LOWJISHOP/resources/image/sanpham/26.jpg;jsessionid=82E916D9B127047B501163224C09FEC5 HTTP/1.1" 200 9401
0:0:0:0:0:0:0:1 - - [05/Dec/2019:07:20:44 +0700] "GET /LOWJISHOP/resources/image/sanpham/29.jpg;jsessionid=82E916D9B127047B501163224C09FEC5 HTTP/1.1" 200 7440
0:0:0:0:0:0:0:1 - - [05/Dec/2019:07:20:44 +0700] "GET /LOWJISHOP/resources/image/trangchu/trangchu.jpg HTTP/1.1" 200 353237
0:0:0:0:0:0:0:1 - - [05/Dec/2019:07:20:45 +0700] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [05/Dec/2019:07:21:12 +0700] "GET /LOWJISHOP/dangnhap/ HTTP/1.1" 200 1992
0:0:0:0:0:0:0:1 - - [05/Dec/2019:07:21:12 +0700] "GET /LOWJISHOP/resources/Styles/styles.css HTTP/1.1" 200 4038
0:0:0:0:0:0:0:1 - - [05/Dec/2019:07:21:12 +0700] "GET /LOWJISHOP/resources/bootstrap-4.3.1-dist/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [05/Dec/2019:07:21:12 +0700] "GET /LOWJISHOP/resources/JS/jquery-3.4.1.min.js HTTP/1.1" 200 88145
0:0:0:0:0:0:0:1 - - [05/Dec/2019:07:21:12 +0700] "GET /LOWJISHOP/resources/JS/wow.min.js HTTP/1.1" 200 8415
0:0:0:0:0:0:0:1 - - [05/Dec/2019:07:21:12 +0700] "GET /LOWJISHOP/resources/Styles/animate.css HTTP/1.1" 200 77907
0:0:0:0:0:0:0:1 - - [05/Dec/2019:07:21:12 +0700] "GET /LOWJISHOP/resources/JS/jquery.validate.min.js HTTP/1.1" 200 24376
